accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,accelerometerTimestamp_sinceReboot,identifierForVendor,locationAltitude,locationCourse,locationFloor,locationHorizontalAccuracy,locationLatitude,locationLongitude,locationSpeed,locationTimestamp_since1970,locationVerticalAccuracy,loggingTime 
0.035980,-0.898926,-0.422485,387049.701359,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.316 +0700
0.036606,-0.898865,-0.421921,387049.801071,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.416 +0700
0.037003,-0.899307,-0.421387,387049.900784,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.516 +0700
0.035599,-0.898239,-0.421265,387050.000496,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.616 +0700
0.036438,-0.897964,-0.422684,387050.100208,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.716 +0700
0.035751,-0.899231,-0.422852,387050.199920,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.816 +0700
0.036194,-0.898727,-0.423126,387050.299632,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.916 +0700
0.036133,-0.899323,-0.422104,387050.399345,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.016 +0700
0.036453,-0.899353,-0.422150,387050.499057,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.116 +0700
0.035889,-0.899094,-0.420975,387050.598769,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.216 +0700
0.036224,-0.898895,-0.422760,387050.698481,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.316 +0700
0.036621,-0.899277,-0.422348,387050.798193,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.416 +0700
0.036575,-0.899124,-0.422195,387050.897906,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.516 +0700
0.035629,-0.899475,-0.423065,387050.997618,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.616 +0700
0.035156,-0.898239,-0.420822,387051.097330,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.716 +0700
0.036240,-0.898621,-0.422272,387051.197042,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.816 +0700
0.036865,-0.899109,-0.421646,387051.296754,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:07.916 +0700
0.036316,-0.898972,-0.422256,387051.396467,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:08.016 +0700
0.036804,-0.898682,-0.422791,387051.496179,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:08.116 +0700
0.036636,-0.899170,-0.421555,387051.595891,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:08.216 +0700
0.036819,-0.898193,-0.422256,387051.695603,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:08.316 +0700
0.038803,-0.896698,-0.425674,387051.795315,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:08.416 +0700
0.036163,-0.899048,-0.423355,387051.895028,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:08.516 +0700
